|first_name,last_name,date,pronoun,balance,overdraft|
Elliot,Iacovielli,13/12/1975,f,99044.97,877.05
Kennett,Chadbourne,13/7/1994,m,62325.6,107.83
Debor,Rye,6/1/1950,n,89734.58,929.59
Danella,Radenhurst,13/6/1965,m,66892.61,710.1
Alma,Bampfield,16/3/1951,n,46656.46,176.47
Dunn,Houldin,8/12/1984,n,66474.78,175.16
Kristien,Tysack,21/6/1962,m,95803.13,906.77
Mose,Kiloh,28/8/1977,n,73730.9,669.09
Yehudit,Ogilby,30/1/1957,f,16469.58,271.33
Del,Scardefield,25/1/1963,m,87159.68,956.42
Earle,Juszkiewicz,6/6/1962,m,70131.01,398.22
Perri,Lafee,12/8/1967,m,4530.88,412.45
Kristina,Stoner,17/8/1983,f,73446.07,740.13
